step,drift_score
16800,6.239212567533426e-07
16832,8.475128097913752e-07
16864,6.325209318701901e-07
16896,7.621091396654423e-07
16928,1.3566728848129955e-06
16960,1.1194404677965154e-06
16992,9.148275081198014e-07
17024,1.4162775295883862e-06
17056,1.0058654481498757e-06
17088,8.143002714090679e-07
17120,9.601982078742031e-07
17152,1.0823729026376904e-06
17184,1.0245475009899234e-06
17216,7.315654659745705e-07
17248,8.578917280358462e-07
17280,8.252722706960802e-07
17312,6.111700143387068e-07
17344,3.591105712586968e-07
17376,5.936741235837414e-07
17408,5.782540164776702e-07
17440,1.0669527955316191e-06
17472,6.488306605400731e-07
17504,6.713677401566386e-07
17536,5.462276401804454e-07
17568,6.126527169450598e-07
17600,9.904453410438044e-07
17632,1.1662938701572703e-06
17664,9.990450161606518e-07
17696,1.058946201457313e-06
17728,6.873809283052511e-07
17760,1.1025376580840914e-06
17792,1.0556842557233363e-06
17824,7.383858979637943e-07
17856,7.452063299530181e-07
17888,9.041520493540597e-07
17920,1.0165409069156173e-06
17952,8.786495645247882e-07
17984,9.797698822780629e-07
18016,1.0888967941056437e-06
18048,9.04745130396601e-07
18080,1.0675458765741604e-06
18112,8.137071903665267e-07
18144,7.425374652615827e-07
18176,7.968043806541025e-07
18208,1.1541357087851756e-06
18240,6.162112032003071e-07
18272,6.906428740392277e-07
18304,1.0716974438719488e-06
18336,1.065766633446537e-06
18368,1.113213116849833e-06
18400,1.2899512675271106e-06
18432,1.0254371225537352e-06
18464,1.1482048983597637e-06
18496,9.020762657051656e-07
18528,7.573644913251127e-07
18560,9.833283685333101e-07
18592,8.380235131107159e-07
18624,5.758816923075054e-07
18656,6.615819029547089e-07
18688,6.233281757108014e-07
18720,1.0770351732548197e-06
18752,8.664914031526936e-07
18784,7.979905427391849e-07
18816,6.858982256988981e-07
18848,8.75091078269541e-07
18880,6.701815780715563e-07
18912,4.451073224271708e-07
18944,4.273148911509348e-07
18976,4.646789968310304e-07
19008,5.373314245423274e-07
19040,4.11598243523593e-07
19072,4.685340236075482e-07
19104,5.746955302224231e-07
19136,9.109724813432836e-07
19168,9.661290182996152e-07
19200,5.901156373284942e-07
